ID,Question,Difficulty,Topic,Role,Answer
11,"Một tập dữ liệu có 10,000 dòng, 20% dữ liệu bị thiếu. Em sẽ xử lý ra sao?",Khó,Data Imputation,Data Science,"Tuỳ loại dữ liệu: dùng mean/median cho số, dùng mode hoặc bỏ hàng, hoặc dùng kỹ thuật nâng cao như KNN imputation."
12,Em hãy giải thích cách hoạt động của cây quyết định (Decision Tree).,Trung bình,Algorithms,Data Science,"Cây quyết định chia nhỏ dữ liệu dựa trên thuộc tính tối ưu tại mỗi node, theo tiêu chí như entropy hoặc Gini để dự đoán đầu ra."
13,Khi nào nên sử dụng logistic regression thay vì linear regression?,Trung bình,Statistical Modeling,Data Science,"Logistic regression được dùng khi đầu ra là nhị phân (0/1), còn linear regression áp dụng cho đầu ra dạng liên tục."
14,Em đã từng sử dụng thư viện nào trong Python để vẽ biểu đồ?,Dễ,Data Visualization,Data Science,"Matplotlib, Seaborn, Plotly là các thư viện phổ biến để vẽ biểu đồ trong Python."
15,Git là gì? Em hay dùng lệnh nào trong Git?,Dễ,Version Control,Cả hai,"Git là hệ thống quản lý phiên bản. Các lệnh thường dùng: git init, git add, git commit, git push, git pull."
16,SQL là gì? Em có thể viết một câu lệnh để lấy dữ liệu sinh viên điểm cao nhất?,Trung bình,Database,Cả hai,SQL là ngôn ngữ truy vấn cơ sở dữ liệu. Ví dụ: SELECT * FROM students ORDER BY score DESC LIMIT 1;
17,Hãy mô tả cách em làm việc khi nhận task mới từ mentor.,Dễ,Soft Skills,Cả hai,"Em sẽ đọc kỹ yêu cầu, hỏi rõ nếu chưa hiểu, chia nhỏ công việc và bắt đầu thực hiện từng phần. Có gì vướng sẽ hỏi lại mentor."
18,Em xử lý như thế nào khi không hiểu yêu cầu của task?,Dễ,Soft Skills,Cả hai,"Em sẽ chủ động hỏi lại mentor để làm rõ. Nếu có thể, em sẽ đề xuất ví dụ cụ thể để xác nhận đúng hiểu."
19,Em từng làm project gì trong trường? Em đã học được gì từ đó?,Dễ,Experience,Cả hai,"Em từng làm project quản lý sinh viên bằng Python. Em học được cách làm việc nhóm, chia task, sử dụng Git, và viết tài liệu."
20,Em đã bao giờ làm việc nhóm chưa? Vai trò của em là gì?,Dễ,Teamwork,Cả hai,Em từng làm nhóm trong môn học. Em đảm nhiệm việc code chính và hỗ trợ review cho các bạn khác.
21,Hàm đệ quy là gì? Khi nào nên và không nên dùng?,Trung bình,Programming Fundamentals,Software Engineer,"Hàm đệ quy là hàm gọi lại chính nó. Nên dùng khi bài toán có tính chất phân rã giống nhau (như cây, backtracking). Không nên dùng nếu độ sâu quá lớn (gây tràn stack)."
22,Em hãy viết hàm tính giai thừa trong Python bằng cả đệ quy và lặp.,Trung bình,Coding,Software Engineer,"def factorial(n): return 1 if n==0 else n*factorial(n-1)
def fact_loop(n): result=1
for i in range(1,n+1): result*=i
return result"
23,Big O notation là gì?,Dễ,Algorithms,Software Engineer,Big O là cách biểu diễn độ phức tạp thời gian hoặc không gian của thuật toán theo kích thước đầu vào.
24,Sự khác biệt giữa stack và queue là gì?,Dễ,Data Structure,Software Engineer,"Stack là cấu trúc LIFO (Last In First Out), queue là FIFO (First In First Out)."
25,Cách em debug một đoạn mã bị lỗi như thế nào?,Dễ,Debugging,Software Engineer,"In log, sử dụng debugger, kiểm tra giá trị biến từng bước để xác định vị trí lỗi. Có thể dùng breakpoint."
26,ORM là gì? Có lợi ích gì khi dùng?,Trung bình,Database,Software Engineer,ORM (Object Relational Mapping) giúp ánh xạ giữa đối tượng trong code và bảng dữ liệu. Giảm việc viết SQL thủ công.
27,Em hiểu gì về kiến trúc MVC?,Trung bình,Software Design,Software Engineer,"MVC gồm Model (dữ liệu), View (giao diện), Controller (điều khiển). Giúp phân tách trách nhiệm và dễ bảo trì."
28,Biến thể của gradient descent là gì?,Khó,Optimization,Data Science,"Các biến thể gồm: Batch GD, Stochastic GD, Mini-batch GD, Adam, RMSProp."
29,PCA là gì? Dùng để làm gì?,Trung bình,Dimensionality Reduction,Data Science,PCA là phương pháp giảm số chiều dữ liệu bằng cách giữ lại các thành phần chính có phương sai lớn nhất.
30,Em có thể mô tả một pipeline xử lý dữ liệu trong Data Science?,Trung bình,Data Pipeline,Data Science,Gồm các bước: lấy dữ liệu → làm sạch → chuẩn hoá → phân tích đặc trưng → huấn luyện mô hình → đánh giá → deploy.
31,Bias và variance là gì?,Trung bình,Model Evaluation,Data Science,Bias là lỗi do mô hình quá đơn giản. Variance là lỗi do mô hình quá nhạy với dữ liệu huấn luyện.
32,Mean vs Median: khi nào dùng cái nào?,Dễ,Statistics,Data Science,Mean dùng khi dữ liệu phân phối đều. Median tốt hơn khi có outlier vì không bị ảnh hưởng.
33,Làm sao em biết mô hình đang underfitting?,Trung bình,Model Evaluation,Data Science,Underfitting xảy ra khi cả train và test đều có lỗi cao. Có thể do mô hình quá đơn giản hoặc thiếu đặc trưng.
34,Tại sao cần chuẩn hóa dữ liệu?,Dễ,Preprocessing,Data Science,"Chuẩn hóa giúp các đặc trưng có cùng thang đo, tránh mô hình bị lệch do một vài đặc trưng có giá trị lớn."
35,Overfitting xảy ra khi nào?,Dễ,Model Evaluation,Data Science,"Overfitting xảy ra khi mô hình học thuộc dữ liệu huấn luyện quá mức, dẫn đến kém tổng quát với dữ liệu mới."
36,Phân biệt giữa accuracy và F1-score?,Khó,Classification Metrics,Data Science,"Accuracy đo tỷ lệ đúng chung, còn F1-score cân bằng precision và recall, dùng tốt trong dữ liệu mất cân bằng."
37,Em hãy viết một câu SQL để đếm số lượng sinh viên trong mỗi lớp.,Trung bình,SQL,Cả hai,"SELECT class, COUNT(*) FROM students GROUP BY class;"
38,Em từng dùng scikit-learn bao giờ chưa? Các bước huấn luyện mô hình là gì?,Trung bình,ML Tooling,Data Science,Có: load data → train_test_split → chọn model → fit → predict → evaluate.
39,Sự khác nhau giữa supervised và unsupervised learning?,Dễ,ML Types,Data Science,"Supervised dùng dữ liệu có nhãn. Unsupervised không có nhãn, dùng để phân cụm, giảm chiều."
40,Hãy mô tả một tình huống em phải học một công nghệ mới và cách em tiếp cận.,Dễ,Soft Skills,Cả hai,"Em sẽ tìm tài liệu chính thức, xem video hướng dẫn, thực hành dự án nhỏ và hỏi người có kinh nghiệm."
41,Em hiểu gì về CI/CD? Em từng sử dụng công cụ nào chưa?,Trung bình,DevOps,Software Engineer,"CI/CD là quy trình tích hợp liên tục và triển khai liên tục. Em có thể đã dùng GitHub Actions, Jenkins, hoặc GitLab CI."
42,Pointer là gì? Em hãy mô tả một ví dụ dùng pointer trong C.,Trung bình,Programming Fundamentals,Software Engineer,Pointer là biến lưu địa chỉ của biến khác. Ví dụ: int *p; int a=5; p=&a;
43,Sự khác biệt giữa HTTP và HTTPS?,Dễ,Web,Software Engineer,"HTTPS là phiên bản bảo mật của HTTP, sử dụng SSL/TLS để mã hóa dữ liệu."
44,Multithreading là gì? Khi nào cần dùng?,Trung bình,Operating System,Software Engineer,"Multithreading cho phép chương trình thực thi nhiều luồng song song, dùng trong xử lý đồng thời như tải file, UI."
45,Race condition là gì? Làm sao để tránh?,Khó,Operating System,Software Engineer,Race condition xảy ra khi hai luồng truy cập và thay đổi dữ liệu chung mà không có đồng bộ. Có thể tránh bằng mutex/lock.
46,Sự khác nhau giữa TCP và UDP?,Trung bình,Computer Network,Software Engineer,"TCP đảm bảo độ tin cậy, tuần tự, kiểm tra lỗi. UDP nhanh hơn nhưng không đảm bảo thứ tự và không kiểm tra lỗi."
47,Deadlock là gì? Khi nào xảy ra?,Khó,Operating System,Software Engineer,"Deadlock xảy ra khi hai hoặc nhiều tiến trình chờ nhau giải phóng tài nguyên, dẫn đến treo vĩnh viễn."
48,Tại sao cần dùng hash table? Ưu điểm là gì?,Trung bình,Data Structure,Software Engineer,"Hash table cho phép tra cứu, chèn, xoá trong O(1) trung bình, rất hiệu quả cho các thao tác dữ liệu nhanh."
49,Sự khác nhau giữa GET và POST trong HTTP?,Dễ,Web,Software Engineer,"GET gửi dữ liệu qua URL, dùng để truy xuất. POST gửi trong body, thường dùng để cập nhật hoặc tạo mới."
50,Lambda function trong Python là gì?,Dễ,Programming,Software Engineer,"Là hàm ẩn danh, khai báo nhanh. Ví dụ: lambda x: x + 1"
51,Định lý Bayes là gì? Ứng dụng trong Data Science?,Trung bình,Probability,Data Science,"Bayes giúp tính xác suất ngược. Ứng dụng trong phân loại Naive Bayes, chẩn đoán y học."
52,Cross-validation là gì? Vì sao cần dùng?,Trung bình,Model Evaluation,Data Science,"Cross-validation chia dữ liệu nhiều lần để đánh giá độ ổn định mô hình, tránh overfitting."
53,Random Forest là gì? Khác gì với Decision Tree?,Trung bình,ML Algorithms,Data Science,"Random Forest là tập hợp nhiều cây quyết định, dùng voting để cải thiện độ chính xác và giảm overfitting."
54,Gradient vanishing là gì? Gặp trong mạng nào?,Khó,Deep Learning,Data Science,"Gradient vanishing là hiện tượng đạo hàm rất nhỏ, mô hình không học được. Gặp nhiều trong RNN, dùng ReLU hoặc LSTM để khắc phục."
55,MSE và MAE khác nhau thế nào?,Trung bình,Regression Metrics,Data Science,"MSE nhấn mạnh lỗi lớn (bình phương), MAE nhấn mạnh tổng sai số. MSE nhạy cảm với outlier."
56,Hàm sigmoid và softmax khác nhau như thế nào?,Trung bình,Activation Function,Data Science,"Sigmoid cho đầu ra từ 0–1, dùng cho nhị phân. Softmax cho phân phối xác suất đa lớp."
57,Em hãy mô tả kiến trúc CNN cơ bản.,Trung bình,Deep Learning,Data Science,Gồm các lớp convolution → activation (ReLU) → pooling → flatten → fully connected → output.
58,Sự khác nhau giữa batch size và epoch?,Dễ,Training Concepts,Data Science,Batch size là số mẫu xử lý một lần. Epoch là số lần toàn bộ dữ liệu đi qua mô hình.
59,Em hiểu gì về one-hot encoding và label encoding?,Trung bình,Preprocessing,Data Science,One-hot tạo vector nhị phân. Label encoding chuyển giá trị thành số nguyên.
60,T-SNE dùng để làm gì? Có điểm yếu gì?,Khó,Dimensionality Reduction,Data Science,"T-SNE giúp trực quan hoá dữ liệu nhiều chiều. Nhược điểm: chậm, không giữ cấu trúc toàn cục."
61,Các yếu tố đánh giá một mô hình học máy tốt là gì?,Trung bình,Model Evaluation,Data Science,"Độ chính xác, khả năng tổng quát, tốc độ huấn luyện, khả năng giải thích."
62,Trực giác của thuật toán K-means là gì?,Trung bình,Unsupervised Learning,Data Science,K-means chia dữ liệu thành K cụm gần nhau nhất dựa vào khoảng cách với centroid.
63,Mini-batch gradient descent giúp cải thiện gì?,Trung bình,Optimization,Data Science,"Kết hợp ưu điểm của Batch và Stochastic GD: nhanh hơn, ổn định hơn."
64,Dropout là gì? Dùng để làm gì?,Trung bình,Regularization,Data Science,Dropout là kỹ thuật bỏ ngẫu nhiên một số neuron trong quá trình huấn luyện để giảm overfitting.
65,Cosine similarity là gì? Ứng dụng?,Trung bình,Similarity Metrics,Data Science,"Đo độ tương đồng góc giữa 2 vector. Ứng dụng trong NLP, hệ thống gợi ý."
66,Bagging và Boosting khác nhau ra sao?,Khó,Ensemble Learning,Data Science,"Bagging huấn luyện song song trên các tập con. Boosting huấn luyện tuần tự, mẫu sai được chú trọng hơn."
67,Phân biệt giữa primary key và foreign key?,Dễ,Database,Cả hai,Primary key là khóa chính định danh bản ghi. Foreign key là khóa ngoại liên kết với bảng khác.
68,Em sẽ làm gì nếu mô hình có độ chính xác cao nhưng recall thấp?,Trung bình,Model Tuning,Data Science,"Cần cân bằng lại loss function hoặc điều chỉnh threshold, có thể dùng F1-score thay vì accuracy."
69,Sự khác nhau giữa NoSQL và SQL?,Trung bình,Database,Cả hai,"SQL có cấu trúc bảng rõ ràng, ACID. NoSQL linh hoạt hơn, dùng JSON, hiệu quả với dữ liệu phi cấu trúc."
70,Data drift là gì? Làm sao phát hiện?,Khó,Data Monitoring,Data Science,Data drift là sự thay đổi phân phối dữ liệu theo thời gian. Phát hiện bằng so sánh thống kê phân phối train/test.
71,Em sẽ làm gì khi gặp project mà em chưa có kinh nghiệm?,Dễ,Soft Skills,Cả hai,"Em sẽ tìm hiểu trước, chia nhỏ từng phần, hỏi mentor, và học từ tài liệu hoặc project tương tự."
72,Em xử lý thế nào nếu bị conflict khi dùng Git?,Dễ,Version Control,Cả hai,"Dùng git status để kiểm tra, chỉnh sửa file bị conflict, rồi git add và git commit để hoàn tất merge."
73,Em sẽ làm gì nếu teammate viết code thiếu rõ ràng?,Dễ,Teamwork,Cả hai,"Góp ý nhẹ nhàng, đề xuất refactor hoặc tuân theo coding convention chung."
74,Em đã từng phải tự học công nghệ nào để hoàn thành task chưa?,Dễ,Self-learning,Cả hai,"Có, em từng tự học Flask qua tài liệu chính thức và YouTube để build backend cho project."
75,Khác biệt giữa class và object trong OOP?,Dễ,OOP,Software Engineer,Class là khuôn mẫu. Object là thể hiện cụ thể của class.
76,Constructor là gì? Em có dùng trong Python chưa?,Dễ,OOP,Software Engineer,Constructor là hàm khởi tạo (__init__) dùng để khởi tạo giá trị thuộc tính khi tạo object.
77,Polymorphism là gì? Cho ví dụ?,Trung bình,OOP,Software Engineer,"Polymorphism là tính đa hình, ví dụ: nhiều class có method cùng tên nhưng thực thi khác nhau."
78,Exception handling là gì? Dùng thế nào trong Python?,Trung bình,Error Handling,Software Engineer,"Dùng try-except để xử lý lỗi. Ví dụ: try: x=1/0 except ZeroDivisionError: print(""Lỗi chia 0"")"
79,RESTful API cần tuân thủ những nguyên tắc nào?,Trung bình,Web/API,Software Engineer,"Tuân thủ stateless, sử dụng các HTTP methods đúng cách, định danh resource bằng URI."
80,Em từng deploy ứng dụng ở đâu? Quy trình ra sao?,Trung bình,Deployment,Cả hai,"Em từng deploy bằng Heroku/AWS. Quy trình gồm: chuẩn bị mã, push code, thiết lập môi trường, kiểm tra kết quả."
81,Em hiểu gì về SOLID principles trong lập trình hướng đối tượng?,Khó,OOP,Software Engineer,"SOLID gồm 5 nguyên lý: Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion."
82,Khi nào nên dùng interface thay vì abstract class?,Khó,OOP,Software Engineer,Dùng interface khi muốn định nghĩa hành vi mà nhiều class khác nhau có thể thực thi mà không cần chia sẻ code.
83,Design pattern là gì? Kể tên một vài loại phổ biến.,Trung bình,Software Design,Software Engineer,"Design pattern là giải pháp mẫu cho các vấn đề thiết kế. Ví dụ: Singleton, Factory, Observer, Strategy."
84,Sự khác nhau giữa synchronous và asynchronous?,Trung bình,Concurrency,Software Engineer,Synchronous: chờ kết quả xong mới tiếp tục. Asynchronous: tiếp tục xử lý mà không cần chờ kết quả.
85,Memory leak là gì? Cách phát hiện?,Khó,Memory Management,Software Engineer,Memory leak xảy ra khi bộ nhớ không được giải phóng sau khi sử dụng. Phát hiện bằng profiling tools.
86,Immutable object là gì? Lợi ích của nó?,Trung bình,Programming,Software Engineer,"Là đối tượng không thể thay đổi sau khi tạo. Giúp thread-safe, dễ debug."
87,Tại sao nên viết test? Các loại test phổ biến?,Dễ,Testing,Cả hai,"Viết test giúp đảm bảo chất lượng code. Có unit test, integration test, system test."
88,Em có biết về TDD không? Quy trình là gì?,Trung bình,Testing,Software Engineer,TDD (Test-Driven Development): viết test → viết code → chạy test → refactor.
89,Yêu cầu chức năng và phi chức năng khác nhau thế nào?,Trung bình,Software Engineering,Cả hai,"Chức năng là tính năng hệ thống cần làm. Phi chức năng là hiệu năng, bảo mật, khả năng mở rộng,..."
90,Làm thế nào để em ưu tiên task khi deadline gần?,Dễ,Soft Skills,Cả hai,"Xác định việc gấp và quan trọng, chia nhỏ công việc, tập trung xử lý phần lõi trước."
91,LSTM là gì? Khác gì với RNN thường?,Khó,Deep Learning,Data Science,LSTM là một dạng RNN khắc phục vấn đề gradient vanishing bằng cách dùng cổng ghi nhớ.
92,Word2Vec hoạt động như thế nào?,Khó,NLP,Data Science,Word2Vec học vector biểu diễn từ bằng cách dự đoán ngữ cảnh (CBOW) hoặc từ (Skip-Gram).
93,Stop words là gì? Có nên loại bỏ trong NLP không?,Trung bình,NLP,Data Science,"Stop words là các từ phổ biến như “là”, “và”. Thường bị loại bỏ để giảm nhiễu."
94,Sự khác nhau giữa stemming và lemmatization?,Trung bình,NLP,Data Science,"Stemming cắt đuôi từ, lemmatization đưa về dạng gốc ngữ pháp. Lemmatization chính xác hơn."
95,TF-IDF là gì? Dùng để làm gì?,Trung bình,NLP,Data Science,TF-IDF đo tầm quan trọng của từ trong tài liệu. Dùng để vector hóa văn bản.
96,Confusion matrix gồm những gì?,Dễ,Classification Metrics,Data Science,"TP, FP, FN, TN – giúp tính precision, recall, F1-score,..."
97,ROC-AUC là gì? Ý nghĩa?,Trung bình,Model Evaluation,Data Science,ROC-AUC đo khả năng phân biệt giữa các lớp. AUC càng cao càng tốt.
98,Điểm khác nhau giữa batch normalization và layer normalization?,Khó,Deep Learning,Data Science,"Batch norm dùng thống kê theo batch, layer norm theo từng sample. Layer norm tốt hơn trong RNN."
99,Hàm activation nào hay dùng nhất hiện nay?,Dễ,Deep Learning,Data Science,"ReLU vì đơn giản, tính toán nhanh, ít gây vanishing gradient."
100,Early stopping là gì? Khi nào nên dùng?,Trung bình,Regularization,Data Science,"Early stopping dừng huấn luyện khi độ lỗi validation không cải thiện, tránh overfitting."
101,Hệ điều hành quản lý bộ nhớ như thế nào?,Khó,Operating System,Software Engineer,"Dùng paging, segmentation, virtual memory để phân phối và bảo vệ bộ nhớ."
102,Virtual memory là gì?,Trung bình,Operating System,Software Engineer,"Là kỹ thuật dùng bộ nhớ phụ (disk) để mở rộng RAM ảo, cho phép chương trình lớn hơn bộ nhớ thật."
103,Docker là gì? Em từng dùng chưa?,Trung bình,DevOps,Cả hai,Docker là nền tảng container hóa ứng dụng. Em từng dùng để chạy ứng dụng độc lập môi trường.
104,Kubernetes dùng để làm gì?,Khó,DevOps,Cả hai,"Orchestration cho các container: quản lý, mở rộng, cập nhật ứng dụng."
105,Cache là gì? Tại sao quan trọng?,Dễ,System Design,Cả hai,"Cache là bộ nhớ tạm để truy xuất dữ liệu nhanh. Giảm độ trễ, tăng hiệu suất."
106,CDN là gì? Tăng tốc trang web ra sao?,Trung bình,Web Performance,Software Engineer,"CDN phân phối nội dung qua nhiều server gần người dùng, giảm thời gian tải."
107,SQL injection là gì? Cách phòng tránh?,Trung bình,Security,Cả hai,Tấn công qua chèn câu lệnh SQL. Phòng bằng cách dùng prepared statements.
108,XSS là gì? Nguy hiểm như thế nào?,Trung bình,Security,Software Engineer,"Cross-site scripting cho phép chèn script vào trang web. Gây rò rỉ thông tin, chiếm quyền người dùng."
109,OAuth2 là gì?,Khó,Authentication,Software Engineer,OAuth2 là giao thức uỷ quyền truy cập tài nguyên của người dùng cho ứng dụng thứ ba.
110,JWT dùng để làm gì?,Trung bình,Authentication,Software Engineer,"JWT là token xác thực dạng JSON, dùng trong xác thực API."
111,CORS là gì?,Trung bình,Web Security,Software Engineer,CORS kiểm soát truy cập giữa các domain khác nhau trong trình duyệt.
112,Làm sao để đảm bảo REST API an toàn?,Khó,Security,Software Engineer,"Xác thực bằng token, giới hạn request, mã hóa HTTPS, kiểm tra input."
113,Phân biệt CPU-bound và I/O-bound?,Trung bình,System Performance,Software Engineer,"CPU-bound bị giới hạn bởi xử lý, I/O-bound bị giới hạn bởi đọc ghi file, network."
114,Semaphore là gì? Khác mutex?,Khó,Concurrency,Software Engineer,"Semaphore đếm tài nguyên, mutex đảm bảo chỉ một luồng truy cập."
115,Unit test là gì? Em đã viết bao giờ chưa?,Dễ,Testing,Cả hai,"Unit test kiểm tra chức năng nhỏ nhất của code. Em đã viết bằng unittest, pytest."
116,Jupyter Notebook có điểm mạnh gì?,Dễ,Tools,Data Science,"Giao diện tương tác, thuận tiện thử nghiệm, trực quan hóa kết quả."
117,Khi nào cần feature engineering?,Trung bình,Preprocessing,Data Science,"Khi dữ liệu gốc chưa đủ thông tin, cần tạo đặc trưng mới từ dữ liệu hiện có."
118,Hyperparameter tuning là gì?,Trung bình,Model Tuning,Data Science,"Quá trình tìm cấu hình tham số tối ưu: learning rate, batch size, số tầng,..."
119,Grid search vs Random search?,Khó,Model Tuning,Data Science,"Grid search thử toàn bộ tổ hợp. Random search chọn ngẫu nhiên, tiết kiệm thời gian hơn."
120,Làm sao để scale mô hình ML ra production?,Khó,MLOps,Data Science,"Dùng pipeline, deploy qua API, monitoring hiệu suất, cập nhật theo thời gian."
121,Kaggle là gì? Em có từng tham gia không?,Dễ,Competition,Data Science,Kaggle là nền tảng thi đấu và học ML. Em từng tham gia để rèn kỹ năng.
122,Cross entropy là gì?,Trung bình,Loss Function,Data Science,"Là hàm mất mát dùng trong classification, đo độ lệch giữa dự đoán và thực tế."
123,Hàm loss và metric khác nhau thế nào?,Trung bình,Training,Data Science,"Loss dùng để tối ưu, metric dùng để đánh giá kết quả."
124,Bias-variance tradeoff là gì?,Trung bình,Theory,Data Science,Là sự cân bằng giữa underfitting (bias cao) và overfitting (variance cao).
125,Điều gì quan trọng nhất trong việc chọn mô hình ML?,Trung bình,Model Selection,Data Science,"Phụ thuộc vào loại bài toán, độ phức tạp, dữ liệu, thời gian huấn luyện và độ chính xác."
126,Thế nào là dữ liệu mất cân bằng? Ảnh hưởng ra sao?,Trung bình,Data Quality,Data Science,"Một lớp chiếm số lượng lớn. Ảnh hưởng độ chính xác, mô hình thiên lệch."
127,SMOTE là gì?,Khó,Data Augmentation,Data Science,Synthetic Minority Over-sampling Technique – tạo mẫu mới từ dữ liệu thiểu số.
128,Pipeline trong sklearn giúp ích gì?,Trung bình,ML Tooling,Data Science,Giúp kết hợp các bước tiền xử lý và mô hình vào một luồng duy nhất.
129,Mô hình nào phù hợp dữ liệu nhỏ và dễ giải thích?,Trung bình,Model Selection,Data Science,"Decision Tree, Logistic Regression thường phù hợp."
130,Feature selection là gì? Cách thực hiện?,Trung bình,Feature Engineering,Data Science,"Là chọn những đặc trưng quan trọng. Dùng phương pháp thống kê, recursive feature elimination, tree-based."
131,Em có thể giải thích sự khác biệt giữa shallow copy và deep copy trong Python?,Trung bình,Programming,Software Engineer,Shallow copy sao chép đối tượng gốc nhưng tham chiếu đến các đối tượng con. Deep copy sao chép toàn bộ cả đối tượng và các đối tượng lồng bên trong.
132,Em hãy mô tả cách hoạt động của garbage collector trong Python.,Trung bình,Memory Management,Software Engineer,Garbage collector tự động thu hồi bộ nhớ không còn tham chiếu nào. Python dùng kỹ thuật đếm tham chiếu và phát hiện vòng tham chiếu.
133,"Lambda, map, filter và reduce là gì?",Trung bình,Functional Programming,Software Engineer,"Là các công cụ lập trình hàm. lambda tạo hàm ẩn danh, map áp dụng hàm cho từng phần tử, filter lọc phần tử, reduce gộp dữ liệu."
134,"Sự khác nhau giữa list, tuple và set trong Python?",Dễ,Data Structures,Software Engineer,"List thay đổi được, tuple không thay đổi, set là tập hợp không thứ tự và không có phần tử trùng lặp."
135,Em hãy viết class đơn giản trong Python có thuộc tính và method.,Dễ,OOP,Software Engineer,"class Student:
    def __init__(self, name):
        self.name = name
    def greet(self):
        print(f""Hello {self.name}"")"
136,Thế nào là callback function trong JavaScript?,Trung bình,Web Programming,Software Engineer,Là hàm được truyền như đối số vào hàm khác và gọi lại khi xong việc. Dùng nhiều trong async code.
137,Difference between null and undefined in JavaScript?,Trung bình,Web Programming,Software Engineer,undefined là biến được khai báo nhưng chưa gán. null là giá trị rỗng có chủ đích.
138,Event loop hoạt động như thế nào trong JavaScript?,Khó,Concurrency,Software Engineer,"Event loop xử lý callback từ queue sau khi stack rỗng, giúp xử lý bất đồng bộ."
139,DOM là gì? Em đã thao tác DOM như thế nào?,Dễ,Web Programming,Software Engineer,"DOM là cây biểu diễn tài liệu HTML. Em dùng JS để thêm/xóa/sửa phần tử qua document.querySelector, innerHTML,..."
140,Cách để tối ưu website frontend?,Trung bình,Web Performance,Software Engineer,"Dùng lazy loading, giảm số request, minify file, dùng cache, CDN,..."
141,Em có thể giải thích sự khác nhau giữa batch gradient descent và stochastic gradient descent?,Trung bình,Optimization,Data Science,"Batch GD dùng toàn bộ dữ liệu cho mỗi bước cập nhật. SGD dùng một điểm dữ liệu, học nhanh hơn nhưng nhiễu hơn."
142,Mini-batch GD hoạt động như thế nào?,Trung bình,Optimization,Data Science,Chia tập dữ liệu thành các lô nhỏ. Vừa tối ưu hiệu năng vừa giữ ổn định.
143,Data augmentation là gì? Ví dụ trong ảnh?,Trung bình,Preprocessing,Data Science,"Là kỹ thuật nhân dữ liệu huấn luyện như xoay, lật, nhiễu,... giúp mô hình tổng quát hơn."
144,Regularization là gì? L1 và L2 khác nhau ra sao?,Trung bình,Model Tuning,Data Science,"L1 tạo sparsity (Lasso), L2 làm nhỏ trọng số (Ridge). Giúp tránh overfitting."
145,Precision và recall nên dùng khi nào?,Trung bình,Classification Metrics,Data Science,Precision quan trọng khi sai dương nguy hiểm (VD: spam). Recall quan trọng khi cần phát hiện hết (VD: ung thư).
146,Grid Search hoạt động ra sao? Có điểm yếu gì?,Khó,Model Tuning,Data Science,Thử tất cả tổ hợp tham số. Chính xác nhưng tốn thời gian.
147,Random Search khác gì với Grid Search?,Trung bình,Model Tuning,Data Science,"Random search chọn ngẫu nhiên một số tổ hợp, tiết kiệm thời gian."
148,Em có hiểu về Bayesian Optimization?,Khó,Model Tuning,Data Science,"Là kỹ thuật tối ưu hàm mục tiêu dựa trên xác suất, tìm điểm tốt nhất với ít lần thử."
